Date,County,Active Dem,Active Rep,Active Uaf,Total Active,Inactive Dem,Inactive Rep,Inactive Uaf,Total Inactive,Grand Total,Year,Month,Label,Active Dem_change,Active Rep_change,Active Uaf_change,Total Active_change,Inactive Dem_change,Inactive Rep_change,Inactive Uaf_change,Total Inactive_change,Grand Total_change
2012-12-28,Lincoln,392,1400,529,2321,196,383,376,955,3276,2012,dec,REP,0.0,0.0021474588403722628,0.011472275334607929,0.0038927335640137617,-0.010101010101010055,-0.01033591731266148,-0.005291005291005346,-0.00830737279335414,0.0003053435114503955
2012-12-28,Las Animas,3780,1863,1422,7065,1375,793,1148,3316,10381,2012,dec,Swing,0.004517672070156742,0.016366612111292866,0.03193033381712618,0.013048465729853742,-0.011502516175413424,-0.016129032258064502,-0.013745704467353903,-0.013388872359416881,0.004450895016932854
2012-12-28,Larimer,51796,63795,68453,184044,13210,14799,29672,57681,241725,2012,dec,DEM,0.005962438579113938,0.003965818422170919,0.017585848074922028,0.009555572621254838,-0.02111893293812528,-0.021294887904239168,-0.017938703912093734,-0.019530851606323285,0.0024592339465521196
2012-12-28,Lake,1558,651,899,3108,626,308,895,1829,4937,2012,dec,DEM,-0.0006414368184733954,-0.0015337423312883347,-0.0011111111111110628,-0.0009643201542912649,-0.006349206349206327,0.0,-0.0033407572383074013,-0.0038126361655773655,-0.0020214271275520446
2012-12-28,Ouray,923,1313,1046,3282,195,330,430,955,4237,2012,dec,DEM,0.0065430752453652374,-0.001520912547528508,0.0204878048780488,0.007675775253300543,-0.22924901185770752,-0.17705735660847877,-0.12244897959183676,-0.1652097902097902,-0.037264258123153815
2012-12-28,Mesa,15484,35395,23731,74610,6142,11086,15671,32899,107509,2012,dec,REP,-0.055508112724167336,-0.03922366992399562,-0.11398596176821985,-0.06758479342148016,0.17798235519754502,0.15395024461330276,0.25408130601792567,0.20434161877219315,0.0016210928401731994
2012-12-28,Park,2111,4166,3417,9694,682,1103,1631,3416,13110,2012,dec,Swing,0.005238095238095264,0.005308880308880326,0.01726704376302468,0.009476205352493938,-0.011594202898550732,-0.008984725965858087,-0.01746987951807233,-0.01357204735778228,0.003367518750956755
2012-12-28,Yuma,806,2660,1277,4743,255,634,695,1584,6327,2012,dec,REP,0.007500000000000062,0.00605143721633894,0.034846029173419835,0.013894826849080832,-0.08602150537634412,-0.09686609686609682,-0.056987788331071876,-0.07799767171129224,-0.010787992495309595
2012-12-28,Pitkin,3880,1918,4405,10203,1358,887,2454,4699,14902,2012,dec,DEM,-0.021190716448032276,-0.03569632981397686,-0.06554942723801438,-0.043498640667479105,0.06845003933910299,0.08038976857490865,0.13453536754507622,0.10434782608695659,-0.0013403029084573248
2012-12-28,Prowers,1220,2395,1386,5001,529,791,1049,2369,7370,2012,dec,REP,0.004115226337448652,0.008421052631578885,0.019867549668874274,0.010507173166296235,-0.01855287569573283,-0.017391304347826098,-0.010377358490566091,-0.01455906821963393,0.0023119815041479086
2012-12-28,Pueblo,37787,20764,20513,79064,12998,6975,15991,35964,115028,2012,dec,DEM,-0.05283870159167814,-0.03848112989117847,-0.14221794764573048,-0.07423539881036012,0.19236767269057875,0.13488447770907896,0.280919577058635,0.2178388811757137,0.0008091529995215563
