county,active_dem,active_rep,active_uaf,total_active,inactive_dem,inactive_rep,inactive_uaf,total_inactive,grand_total,year,month
Mineral,306,270,149,725,29,25,33,87,812,2015,july
Moffat,821,3858,2099,6778,425,1030,1276,2731,9509,2015,july
Montezuma,3203,6921,4636,14760,882,1274,1667,3823,18583,2015,july
Montrose,4080,10770,7679,22529,435,924,1247,2606,25135,2015,july
Morgan,2752,5639,4548,12939,349,472,728,1549,14488,2015,july
Otero,3314,3661,2962,9937,427,349,603,1379,11316,2015,july
Ouray,941,1309,1276,3526,140,232,267,639,4165,2015,july
Park,2219,4574,4178,10971,372,699,934,2005,12976,2015,july
Phillips,429,1471,684,2584,107,252,194,553,3137,2015,july
Pitkin,4202,2119,5557,11878,787,446,1278,2511,14389,2015,july
Prowers,1314,2740,1782,5836,206,360,502,1068,6904,2015,july
Pueblo,39611,22941,28245,90797,5859,3248,7183,16290,107087,2015,july
Rio Blanco,324,2531,763,3618,61,317,340,718,4336,2015,july
Rio Grande,2012,2684,1669,6365,370,411,471,1252,7617,2015,july
Routt,4314,4429,6435,15178,824,798,1641,3263,18441,2015,july
Saguache,1594,779,1089,3462,293,130,326,749,4211,2015,july
San Juan,169,140,293,602,34,27,68,129,731,2015,july
San Miguel,2043,832,1913,4788,360,154,485,999,5787,2015,july
Sedgwick,258,871,393,1522,19,75,70,164,1686,2015,july
Summit,5213,4340,8474,18027,1785,1383,3793,6961,24988,2015,july
Teller,2503,7401,5366,15270,417,1011,1050,2478,17748,2015,july
Washington,260,2078,488,2826,49,152,98,299,3125,2015,july
Weld,32380,54164,54925,141469,4893,5590,9334,19817,161286,2015,july
Yuma,805,2968,1555,5328,95,259,270,624,5952,2015,july
Adams,73749,53995,80559,208303,11629,6653,14961,33243,241546,2015,june
Alamosa,2929,2260,2215,7404,478,316,634,1428,8832,2015,june
Arapahoe,105424,101378,117840,324642,19651,12280,27582,59513,384155,2015,june
Archuleta,1726,3808,2252,7786,398,664,676,1738,9524,2015,june
Baca,672,1190,642,2504,45,94,110,249,2753,2015,june
Bent,773,852,629,2254,169,116,217,502,2756,2015,june
Boulder,79499,35411,75626,190536,17491,8754,27281,53526,244062,2015,june
Broomfield,10691,11866,14769,37326,1762,1605,3065,6432,43758,2015,june
Chaffee,2995,4397,4212,11604,421,529,893,1843,13447,2015,june
Cheyenne,152,858,290,1300,15,38,43,96,1396,2015,june
Clear Creek,1950,1932,2553,6435,273,278,515,1066,7501,2015,june
Conejos,2331,1681,690,4702,402,262,222,886,5588,2015,june
Costilla,1581,314,406,2301,170,82,187,439,2740,2015,june
Crowley,436,912,429,1777,64,66,86,216,1993,2015,june
Custer,446,1934,731,3111,50,170,138,358,3469,2015,june
Delta,3216,8512,6113,17841,523,1032,1191,2746,20587,2015,june
Denver,163401,53347,124518,341266,33216,10672,36651,80539,421805,2015,june
Dolores,360,619,401,1380,47,66,126,239,1619,2015,june
Douglas,37881,91532,62938,192351,5907,11648,11688,29243,221594,2015,june
Eagle,7448,7375,11861,26684,1141,975,2623,4739,31423,2015,june
El Paso,70277,147519,124746,342542,15619,20520,31014,67153,409695,2015,june
Elbert,2131,8975,5185,16291,215,803,691,1709,18000,2015,june
Fremont,5028,10930,8714,24672,633,1111,1608,3352,28024,2015,june
Garfield,6763,9309,12570,28642,659,931,1795,3385,32027,2015,june
Gilpin,1243,1153,1824,4220,140,114,265,519,4739,2015,june
Grand,1974,4046,3461,9481,294,384,718,1396,10877,2015,june
Gunnison,2809,2598,4345,9752,503,419,1099,2021,11773,2015,june
Hinsdale,93,398,145,636,7,20,19,46,682,2015,june
Huerfano,1988,1079,1065,4132,157,111,232,500,4632,2015,june
Jackson,117,698,179,994,21,108,44,173,1167,2015,june
Jefferson,103631,112381,134354,350366,14441,12039,21527,48007,398373,2015,june
Kiowa,167,550,241,958,9,21,30,60,1018,2015,june
Kit Carson,605,2425,1108,4138,83,224,299,606,4744,2015,june
La Plata,10191,10442,12017,32650,2242,1989,3504,7735,40385,2015,june
Lake,1643,724,1236,3603,499,263,741,1503,5106,2015,june
Larimer,53623,67955,82296,203874,6811,6660,15271,28742,232616,2015,june
Las Animas,3934,1953,1865,7752,728,527,648,1903,9655,2015,june
Lincoln,401,1519,648,2568,59,157,183,399,2967,2015,june
Logan,1844,5420,3345,10609,336,652,929,1917,12526,2015,june
Mesa,15590,36406,29170,81166,5107,9624,12413,27144,108310,2015,june
Mineral,306,270,147,723,29,25,33,87,810,2015,june
Moffat,816,3859,2066,6741,427,1042,1283,2752,9493,2015,june
Montezuma,3201,6924,4617,14742,871,1262,1663,3796,18538,2015,june
Montrose,4066,10752,7618,22436,435,923,1254,2612,25048,2015,june
Morgan,2750,5629,4511,12890,351,475,736,1562,14452,2015,june
Otero,3311,3650,2932,9893,430,353,606,1389,11282,2015,june
Ouray,939,1303,1260,3502,140,233,269,642,4144,2015,june
Park,2200,4571,4147,10918,376,704,942,2022,12940,2015,june
Phillips,430,1471,681,2582,108,252,196,556,3138,2015,june
Pitkin,4191,2117,5536,11844,786,448,1278,2512,14356,2015,june
Prowers,1313,2726,1759,5798,210,362,507,1079,6877,2015,june
Pueblo,39563,22967,28109,90639,5905,3239,7204,16348,106987,2015,june
Rio Blanco,324,2531,764,3619,63,319,337,719,4338,2015,june
Rio Grande,2010,2688,1660,6358,370,414,472,1256,7614,2015,june
Routt,4300,4423,6398,15121,824,788,1631,3243,18364,2015,june
Saguache,1590,780,1090,3460,294,130,328,752,4212,2015,june
San Juan,166,141,291,598,35,27,70,132,730,2015,june
San Miguel,2035,834,1904,4773,365,154,490,1009,5782,2015,june
Sedgwick,260,871,389,1520,18,77,70,165,1685,2015,june
Summit,5199,4326,8424,17949,1779,1381,3784,6944,24893,2015,june
Teller,2514,7392,5334,15240,408,1013,1050,2471,17711,2015,june
Washington,259,2079,485,2823,49,155,98,302,3125,2015,june
Weld,32253,54087,54523,140863,4924,5506,9308,19738,160601,2015,june
Yuma,807,2976,1551,5334,94,265,269,628,5962,2015,june
Adams,74046,54135,80512,208693,11228,6430,13863,31521,240214,2015,mar
Alamosa,2907,2257,2180,7344,484,322,646,1452,8796,2015,mar
Arapahoe,105198,101233,115718,322149,19610,12192,27404,59206,381355,2015,mar
Archuleta,1737,3808,2199,7744,402,672,688,1762,9506,2015,mar
Baca,678,1184,606,2468,45,94,117,256,2724,2015,mar
Bent,770,852,611,2233,171,120,224,515,2748,2015,mar
Boulder,79263,35533,74317,189113,17537,8783,27348,53668,242781,2015,mar
Broomfield,10586,11808,14441,36835,1763,1584,3068,6415,43250,2015,mar
Chaffee,3001,4394,4137,11532,430,551,913,1894,13426,2015,mar
Cheyenne,153,859,286,1298,15,41,41,97,1395,2015,mar
Clear Creek,1950,1929,2505,6384,280,279,534,1093,7477,2015,mar
Conejos,2331,1684,673,4688,410,264,222,896,5584,2015,mar
Costilla,1586,312,385,2283,173,82,188,443,2726,2015,mar
Crowley,440,914,415,1769,65,70,87,222,1991,2015,mar
Custer,434,1933,696,3063,50,170,145,365,3428,2015,mar
Delta,3216,8472,5904,17592,525,1037,1211,2773,20365,2015,mar
Denver,167581,54781,127420,349782,28098,8900,30802,67800,417582,2015,mar
Dolores,364,619,397,1380,45,66,126,237,1617,2015,mar
Douglas,37598,90948,61471,190017,6008,11835,11857,29700,219717,2015,mar
Eagle,7390,7321,11639,26350,1149,986,2633,4768,31118,2015,mar
El Paso,69958,147076,122132,339166,15407,20306,30461,66174,405340,2015,mar
Elbert,2116,8904,5089,16109,224,808,703,1735,17844,2015,mar
Fremont,5028,10941,8481,24450,633,1111,1631,3375,27825,2015,mar
Garfield,6731,9305,12335,28371,660,915,1784,3359,31730,2015,mar
Gilpin,1235,1140,1801,4176,145,117,273,535,4711,2015,mar
Grand,1976,4057,3376,9409,293,378,703,1374,10783,2015,mar
Gunnison,2770,2558,4223,9551,509,431,1120,2060,11611,2015,mar
Hinsdale,96,393,133,622,7,20,19,46,668,2015,mar
Huerfano,2018,1094,1055,4167,139,93,217,449,4616,2015,mar
Jackson,115,697,177,989,21,110,44,175,1164,2015,mar
Jefferson,103576,112536,133185,349297,14055,11790,20366,46211,395508,2015,mar
Kiowa,167,545,232,944,9,23,30,62,1006,2015,mar
Kit Carson,603,2429,1081,4113,87,228,308,623,4736,2015,mar
La Plata,10240,10442,12087,32769,2167,1961,3351,7479,40248,2015,mar
Lake,1649,735,1215,3599,497,258,739,1494,5093,2015,mar
Larimer,53378,67744,80690,201812,6815,6645,15389,28849,230661,2015,mar
Las Animas,3941,1938,1828,7707,732,531,652,1915,9622,2015,mar
Lincoln,408,1519,637,2564,64,163,189,416,2980,2015,mar
Logan,1833,5395,3271,10499,341,656,942,1939,12438,2015,mar
Mesa,15637,36430,28833,80900,5050,9548,12304,26902,107802,2015,mar
Mineral,306,265,144,715,29,25,34,88,803,2015,mar
Moffat,818,3850,2005,6673,431,1057,1300,2788,9461,2015,mar
Montezuma,3182,6911,4540,14633,886,1291,1675,3852,18485,2015,mar
Montrose,4070,10744,7536,22350,439,934,1271,2644,24994,2015,mar
Morgan,2754,5619,4442,12815,358,488,753,1599,14414,2015,mar
Otero,3287,3627,2870,9784,437,348,620,1405,11189,2015,mar
Ouray,937,1296,1239,3472,141,239,275,655,4127,2015,mar
Park,2177,4571,4070,10818,379,706,939,2024,12842,2015,mar
Phillips,427,1470,670,2567,109,257,201,567,3134,2015,mar
Pitkin,4155,2101,5399,11655,797,452,1290,2539,14194,2015,mar
Prowers,1319,2727,1735,5781,209,372,495,1076,6857,2015,mar
Pueblo,39505,22833,27609,89947,6006,3275,7277,16558,106505,2015,mar
Rio Blanco,329,2543,758,3630,63,319,335,717,4347,2015,mar
Rio Grande,2013,2685,1631,6329,372,419,482,1273,7602,2015,mar
Routt,4286,4409,6274,14969,826,785,1627,3238,18207,2015,mar
Saguache,1590,780,1104,3474,293,129,326,748,4222,2015,mar
San Juan,166,141,291,598,36,28,70,134,732,2015,mar
San Miguel,2055,831,1877,4763,358,153,489,1000,5763,2015,mar
Sedgwick,264,868,384,1516,18,76,69,163,1679,2015,mar
Summit,5144,4306,8310,17760,1786,1380,3783,6949,24709,2015,mar
Teller,2510,7379,5243,15132,411,1012,1061,2484,17616,2015,mar
Washington,262,2079,486,2827,49,154,98,301,3128,2015,mar
Weld,32068,53772,53317,139157,5008,5531,9393,19932,159089,2015,mar
Yuma,809,2987,1536,5332,96,273,279,648,5980,2015,mar
Adams,73660,53960,80184,207804,11685,6678,15010,33373,241177,2015,may
Alamosa,2920,2255,2200,7375,475,319,638,1432,8807,2015,may
Arapahoe,105244,101268,116899,323411,19667,12259,27610,59536,382947,2015,may
Archuleta,1730,3798,2226,7754,401,665,680,1746,9500,2015,may
Baca,674,1188,634,2496,45,93,111,249,2745,2015,may
Bent,774,853,624,2251,171,117,220,508,2759,2015,may
Boulder,79319,35460,75224,190003,17526,8774,27319,53619,243622,2015,may
Broomfield,10665,11877,14665,37207,1766,1587,3065,6418,43625,2015,may
Chaffee,2995,4391,4177,11563,421,536,895,1852,13415,2015,may
Cheyenne,152,858,290,1300,15,38,41,94,1394,2015,may
Clear Creek,1941,1938,2527,6406,277,276,523,1076,7482,2015,may
Conejos,2332,1677,688,4697,405,264,222,891,5588,2015,may
Costilla,1581,313,400,2294,172,82,187,441,2735,2015,may
Crowley,438,911,424,1773,64,69,87,220,1993,2015,may
Custer,447,1934,721,3102,50,169,141,360,3462,2015,may
Delta,3220,8507,6061,17788,521,1032,1198,2751,20539,2015,may
Denver,164428,53762,125190,343380,31894,10200,35127,77221,420601,2015,may
Dolores,362,622,400,1384,45,65,127,237,1621,2015,may
Douglas,37770,91313,62434,191517,6006,11825,11820,29651,221168,2015,may
Eagle,7430,7369,11784,26583,1147,977,2627,4751,31334,2015,may
El Paso,70402,147685,124355,342442,15357,20320,30471,66148,408590,2015,may
Elbert,2120,8933,5153,16206,218,807,696,1721,17927,2015,may
Fremont,5015,10925,8645,24585,631,1113,1624,3368,27953,2015,may
Garfield,6743,9302,12441,28486,672,937,1808,3417,31903,2015,may
Gilpin,1237,1148,1824,4209,142,114,267,523,4732,2015,may
Grand,1966,4052,3450,9468,294,385,710,1389,10857,2015,may
Gunnison,2786,2579,4292,9657,505,424,1106,2035,11692,2015,may
Hinsdale,93,398,140,631,7,20,19,46,677,2015,may
Huerfano,2004,1093,1066,4163,143,95,217,455,4618,2015,may
Jackson,116,697,177,990,21,109,44,174,1164,2015,may
Jefferson,103392,112383,133471,349246,14495,12109,21598,48202,397448,2015,may
Kiowa,164,546,238,948,9,21,30,60,1008,2015,may
Kit Carson,604,2422,1104,4130,84,226,302,612,4742,2015,may
La Plata,10177,10439,12002,32618,2248,1992,3516,7756,40374,2015,may
Lake,1641,727,1232,3600,500,263,741,1504,5104,2015,may
Larimer,53530,67912,81802,203244,6815,6668,15310,28793,232037,2015,may
Las Animas,3935,1945,1849,7729,730,530,648,1908,9637,2015,may
Lincoln,400,1515,645,2560,60,161,186,407,2967,2015,may
Logan,1835,5412,3302,10549,339,655,931,1925,12474,2015,may
Mesa,15559,36326,28960,80845,5114,9681,12470,27265,108110,2015,may
Mineral,306,270,147,723,29,25,33,87,810,2015,may
Moffat,817,3846,2046,6709,429,1047,1290,2766,9475,2015,may
Montezuma,3195,6924,4575,14694,879,1278,1674,3831,18525,2015,may
Montrose,4056,10748,7595,22399,434,932,1267,2633,25032,2015,may
Morgan,2753,5619,4477,12849,351,478,740,1569,14418,2015,may
Otero,3304,3635,2914,9853,432,350,610,1392,11245,2015,may
Ouray,937,1298,1251,3486,140,234,269,643,4129,2015,may
Park,2192,4567,4113,10872,375,703,933,2011,12883,2015,may
Phillips,427,1474,679,2580,108,253,198,559,3139,2015,may
Pitkin,4186,2117,5491,11794,787,448,1276,2511,14305,2015,may
Prowers,1312,2724,1749,5785,214,366,509,1089,6874,2015,may
Pueblo,39547,22945,27925,90417,5951,3254,7246,16451,106868,2015,may
Rio Blanco,321,2540,758,3619,64,319,337,720,4339,2015,may
Rio Grande,2013,2689,1650,6352,371,414,475,1260,7612,2015,may
Routt,4295,4415,6380,15090,827,789,1626,3242,18332,2015,may
Saguache,1589,782,1095,3466,291,128,325,744,4210,2015,may
San Juan,166,141,291,598,35,28,70,133,731,2015,may
San Miguel,2037,832,1888,4757,366,156,494,1016,5773,2015,may
Sedgwick,261,868,386,1515,19,76,69,164,1679,2015,may
Summit,5185,4326,8364,17875,1779,1374,3791,6944,24819,2015,may
Teller,2505,7379,5294,15178,410,1009,1050,2469,17647,2015,may
Washington,261,2077,486,2824,49,155,99,303,3127,2015,may
Weld,32132,53955,54081,140168,4963,5521,9349,19833,160001,2015,may
Yuma,811,2972,1548,5331,94,268,272,634,5965,2015,may
Adams,73644,53574,78683,205901,19165,12552,24938,56655,262556,2014,nov
Alamosa,2911,2253,2132,7296,595,376,784,1755,9051,2014,nov
Arapahoe,104982,100910,113729,319621,24332,15763,30097,70192,389813,2014,nov
Archuleta,1733,3775,2113,7621,516,851,869,2236,9857,2014,nov
Baca,682,1178,591,2451,72,138,152,362,2813,2014,nov
Bent,775,847,589,2211,174,122,227,523,2734,2014,nov
Boulder,79276,35627,72967,187870,22379,10757,33021,66157,254027,2014,nov
Broomfield,10514,11752,14043,36309,2151,2014,3544,7709,44018,2014,nov
Chaffee,2997,4412,4019,11428,483,618,1012,2113,13541,2014,nov
Cheyenne,157,862,282,1301,20,63,53,136,1437,2014,nov
Clear Creek,1957,1950,2481,6388,348,342,656,1346,7734,2014,nov
Conejos,2365,1703,670,4738,402,260,213,875,5613,2014,nov
Costilla,1621,325,409,2355,169,78,156,403,2758,2014,nov
Crowley,436,917,395,1748,94,93,124,311,2059,2014,nov
Custer,435,1945,662,3042,73,213,185,471,3513,2014,nov
Delta,3219,8474,5733,17426,711,1405,1601,3717,21143,2014,nov
Denver,168232,54728,126021,348981,49787,21098,57891,128776,477757,2014,nov
Dolores,371,612,390,1373,48,75,137,260,1633,2014,nov
Douglas,37418,89921,59793,187132,7986,16445,15987,40418,227550,2014,nov
Eagle,7359,7253,11403,26015,1773,1616,4006,7395,33410,2014,nov
El Paso,69727,146068,118714,334509,21834,28959,42392,93185,427694,2014,nov
Elbert,2109,8833,4978,15920,402,1370,1164,2936,18856,2014,nov
Fremont,5034,10851,8139,24024,885,1497,2082,4464,28488,2014,nov
Garfield,6802,9337,12559,28698,998,1477,2431,4906,33604,2014,nov
Gilpin,1233,1138,1747,4118,154,124,291,569,4687,2014,nov
Grand,2004,4084,3309,9397,466,622,1102,2190,11587,2014,nov
Gunnison,2756,2536,4095,9387,689,628,1677,2994,12381,2014,nov
Hinsdale,102,399,136,637,10,65,31,106,743,2014,nov
Huerfano,2029,1099,1053,4181,312,215,330,857,5038,2014,nov
Jackson,113,694,168,975,21,112,44,177,1152,2014,nov
Jefferson,103271,112302,130401,345974,23024,21839,34560,79423,425397,2014,nov
Kiowa,170,550,233,953,15,37,37,89,1042,2014,nov
Kit Carson,614,2421,1064,4099,149,393,468,1010,5109,2014,nov
La Plata,10174,10383,11694,32251,2991,2823,4764,10578,42829,2014,nov
Lake,1715,758,1245,3718,436,233,688,1357,5075,2014,nov
Larimer,53363,67528,79328,200219,8880,8817,19431,37128,237347,2014,nov
Las Animas,3997,1927,1815,7739,920,715,813,2448,10187,2014,nov
Lincoln,411,1512,635,2558,88,191,230,509,3067,2014,nov
Logan,1865,5342,3222,10429,361,703,975,2039,12468,2014,nov
Mesa,16072,36945,29943,82960,5186,9775,11415,26376,109336,2014,nov
Mineral,308,263,139,710,36,28,35,99,809,2014,nov
Moffat,829,3850,1969,6648,440,1068,1323,2831,9479,2014,nov
Montezuma,3198,6877,4473,14548,954,1462,1727,4143,18691,2014,nov
Montrose,4083,10735,7455,22273,671,1431,2013,4115,26388,2014,nov
Morgan,2751,5614,4340,12705,547,705,1195,2447,15152,2014,nov
Otero,3287,3625,2847,9759,456,379,652,1487,11246,2014,nov
Ouray,935,1295,1196,3426,187,306,375,868,4294,2014,nov
Park,2171,4556,3973,10700,473,819,1066,2358,13058,2014,nov
Phillips,436,1464,654,2554,134,319,265,718,3272,2014,nov
Pitkin,4161,2099,5281,11541,1234,802,2018,4054,15595,2014,nov
Prowers,1307,2708,1688,5703,237,414,537,1188,6891,2014,nov
Pueblo,39598,22684,27222,89504,7197,4030,8671,19898,109402,2014,nov
Rio Blanco,335,2542,744,3621,80,378,361,819,4440,2014,nov
Rio Grande,2016,2674,1604,6294,429,496,519,1444,7738,2014,nov
Routt,4321,4453,6134,14908,989,942,1858,3789,18697,2014,nov
Saguache,1642,789,1147,3578,289,136,290,715,4293,2014,nov
San Juan,167,135,281,583,34,29,68,131,714,2014,nov
San Miguel,2043,826,1859,4728,627,297,901,1825,6553,2014,nov
Sedgwick,265,867,370,1502,22,84,76,182,1684,2014,nov
Summit,5067,4223,8071,17361,2090,1722,4738,8550,25911,2014,nov
Teller,2587,7567,5418,15572,377,979,842,2198,17770,2014,nov
Washington,270,2077,483,2830,68,210,173,451,3281,2014,nov
Weld,32044,53255,52287,137586,7148,8135,14428,29711,167297,2014,nov
Yuma,830,2981,1499,5310,139,365,406,910,6220,2014,nov
Adams,75113,54574,82963,212650,11313,6675,14709,32697,245347,2015,oct
Alamosa,2956,2255,2257,7468,477,316,628,1421,8889,2015,oct
Arapahoe,107701,102294,121598,331593,19102,11996,26959,58057,389650,2015,oct
Archuleta,1777,3859,2326,7962,394,646,665,1705,9667,2015,oct
Baca,651,1190,675,2516,46,96,111,253,2769,2015,oct
Bent,780,861,670,2311,160,110,206,476,2787,2015,oct
Boulder,82266,35562,77148,194976,17166,8620,26854,52640,247616,2015,oct
Broomfield,11008,11975,15179,38162,1768,1639,3070,6477,44639,2015,oct
Chaffee,3094,4398,4341,11833,407,533,904,1844,13677,2015,oct
Cheyenne,150,859,299,1308,17,38,39,94,1402,2015,oct
Clear Creek,1972,1932,2588,6492,269,272,505,1046,7538,2015,oct
Conejos,2330,1677,706,4713,375,262,217,854,5567,2015,oct
Costilla,1595,330,451,2376,160,80,182,422,2798,2015,oct
Crowley,431,918,437,1786,61,61,85,207,1993,2015,oct
Custer,468,1940,778,3186,49,176,137,362,3548,2015,oct
Delta,3266,8574,6320,18160,507,1030,1162,2699,20859,2015,oct
Denver,168031,54313,128775,351119,31338,10070,35123,76531,427650,2015,oct
Dolores,352,639,405,1396,48,65,127,240,1636,2015,oct
Douglas,38734,92469,64999,196202,5910,11896,11684,29490,225692,2015,oct
Eagle,7649,7509,12239,27397,1114,951,2565,4630,32027,2015,oct
El Paso,72135,149388,128240,349763,15466,20551,31029,67046,416809,2015,oct
Elbert,2167,9116,5340,16623,210,795,685,1690,18313,2015,oct
Fremont,5044,10990,9036,25070,609,1099,1586,3294,28364,2015,oct
Garfield,7008,9467,13047,29522,614,891,1746,3251,32773,2015,oct
Gilpin,1269,1162,1865,4296,135,114,262,511,4807,2015,oct
Grand,1978,4061,3589,9628,290,379,714,1383,11011,2015,oct
Gunnison,2927,2625,4417,9969,497,422,1117,2036,12005,2015,oct
Hinsdale,97,408,156,661,7,18,18,43,704,2015,oct
Huerfano,1980,1102,1112,4194,155,114,227,496,4690,2015,oct
Jackson,116,692,200,1008,21,106,42,169,1177,2015,oct
Jefferson,106024,113130,137703,356857,14104,12005,21214,47323,404180,2015,oct
Kiowa,162,563,244,969,9,20,29,58,1027,2015,oct
Kit Carson,594,2429,1138,4161,78,219,290,587,4748,2015,oct
La Plata,10392,10460,12195,33047,2249,2012,3524,7785,40832,2015,oct
Lake,1689,747,1274,3710,473,256,729,1458,5168,2015,oct
Larimer,55162,68434,83848,207444,6758,6681,15169,28608,236052,2015,oct
Las Animas,3903,1967,1921,7791,689,533,651,1873,9664,2015,oct
Lincoln,403,1526,668,2597,59,158,185,402,2999,2015,oct
Logan,1853,5457,3426,10736,316,635,900,1851,12587,2015,oct
Mesa,15910,36859,30040,82809,4970,9441,12141,26552,109361,2015,oct
Mineral,306,273,148,727,28,25,33,86,813,2015,oct
Moffat,828,3892,2153,6873,412,1007,1260,2679,9552,2015,oct
Montezuma,3234,6921,4688,14843,879,1261,1652,3792,18635,2015,oct
Montrose,4154,10892,7784,22830,425,906,1241,2572,25402,2015,oct
Morgan,2768,5671,4644,13083,340,462,707,1509,14592,2015,oct
Otero,3323,3704,3075,10102,406,333,584,1323,11425,2015,oct
Ouray,960,1303,1291,3554,137,228,263,628,4182,2015,oct
Park,2252,4636,4289,11177,374,699,933,2006,13183,2015,oct
Phillips,432,1483,707,2622,106,242,188,536,3158,2015,oct
Pitkin,4312,2163,5671,12146,759,437,1232,2428,14574,2015,oct
Prowers,1319,2769,1852,5940,203,350,487,1040,6980,2015,oct
Pueblo,39857,23239,28829,91925,5652,3175,7020,15847,107772,2015,oct
Rio Blanco,325,2529,784,3638,63,318,334,715,4353,2015,oct
Rio Grande,2016,2709,1714,6439,358,405,462,1225,7664,2015,oct
Routt,4443,4509,6628,15580,806,774,1606,3186,18766,2015,oct
Saguache,1603,790,1112,3505,286,129,320,735,4240,2015,oct
San Juan,168,141,297,606,33,27,67,127,733,2015,oct
San Miguel,2107,851,1965,4923,350,147,463,960,5883,2015,oct
Sedgwick,256,872,397,1525,19,76,69,164,1689,2015,oct
Summit,5333,4385,8594,18312,1764,1371,3758,6893,25205,2015,oct
Teller,2529,7476,5451,15456,412,1004,1033,2449,17905,2015,oct
Washington,261,2074,497,2832,45,151,98,294,3126,2015,oct
Weld,32882,55044,56552,144478,4766,5446,9100,19312,163790,2015,oct
Yuma,811,3004,1581,5396,94,258,264,616,6012,2015,oct
Adams,74415,54200,81848,210463,11429,6742,14845,33016,243479,2015,sept
Alamosa,2928,2248,2235,7411,484,318,632,1434,8845,2015,sept
Arapahoe,106632,101734,120232,328598,19363,12186,27281,58830,387428,2015,sept
Archuleta,1759,3843,2296,7898,394,646,671,1711,9609,2015,sept
Baca,656,1186,664,2506,46,96,114,256,2762,2015,sept
Bent,773,849,649,2271,164,113,207,484,2755,2015,sept
Boulder,81043,35442,76636,193121,17432,8720,27176,53328,246449,2015,sept
Broomfield,10870,11926,15056,37852,1786,1639,3087,6512,44364,2015,sept
Chaffee,3036,4395,4271,11702,426,529,917,1872,13574,2015,sept
Cheyenne,151,856,299,1306,16,40,40,96,1402,2015,sept
Clear Creek,1949,1928,2578,6455,270,275,509,1054,7509,2015,sept
Conejos,2328,1682,704,4714,384,263,217,864,5578,2015,sept
Costilla,1582,327,434,2343,161,82,183,426,2769,2015,sept
Crowley,430,910,431,1771,65,64,87,216,1987,2015,sept
Custer,454,1925,761,3140,50,181,137,368,3508,2015,sept
Delta,3249,8552,6278,18079,507,1034,1178,2719,20798,2015,sept
Denver,166217,54018,127707,347942,31929,10276,35685,77890,425832,2015,sept
Dolores,353,633,405,1391,49,66,127,242,1633,2015,sept
Douglas,38390,91995,64208,194593,5964,11940,11790,29694,224287,2015,sept
Eagle,7557,7464,12099,27120,1130,962,2585,4677,31797,2015,sept
El Paso,71269,148272,126971,346512,15633,20819,31374,67826,414338,2015,sept
Elbert,2151,9059,5263,16473,210,796,688,1694,18167,2015,sept
Fremont,5032,10964,8961,24957,611,1102,1590,3303,28260,2015,sept
Garfield,6928,9426,12888,29242,628,900,1763,3291,32533,2015,sept
Gilpin,1265,1157,1850,4272,135,114,263,512,4784,2015,sept
Grand,1971,4047,3552,9570,293,378,721,1392,10962,2015,sept
Gunnison,2880,2621,4398,9899,493,413,1107,2013,11912,2015,sept
Hinsdale,95,402,150,647,7,20,18,45,692,2015,sept
Huerfano,1983,1096,1095,4174,156,114,230,500,4674,2015,sept
Jackson,118,697,195,1010,21,107,42,170,1180,2015,sept
Jefferson,104862,112429,136136,353427,14230,12114,21410,47754,401181,2015,sept
Kiowa,163,561,244,968,9,20,29,58,1026,2015,sept
Kit Carson,596,2421,1127,4144,79,220,292,591,4735,2015,sept
La Plata,10307,10417,12127,32851,2287,2039,3573,7899,40750,2015,sept
Lake,1668,741,1247,3656,479,259,734,1472,5128,2015,sept
Larimer,54536,68223,83391,206150,6846,6742,15351,28939,235089,2015,sept
Las Animas,3883,1947,1891,7721,695,532,653,1880,9601,2015,sept
Lincoln,395,1516,656,2567,60,157,187,404,2971,2015,sept
Logan,1848,5439,3404,10691,322,638,903,1863,12554,2015,sept
Mesa,15762,36645,29696,82103,5019,9542,12244,26805,108908,2015,sept
Mineral,307,274,149,730,28,25,33,86,816,2015,sept
Moffat,821,3868,2131,6820,415,1021,1267,2703,9523,2015,sept
Montezuma,3210,6897,4664,14771,878,1272,1661,3811,18582,2015,sept
Montrose,4125,10811,7739,22675,429,919,1250,2598,25273,2015,sept
Morgan,2763,5641,4589,12993,347,472,721,1540,14533,2015,sept
Otero,3312,3672,3019,10003,417,339,593,1349,11352,2015,sept
Ouray,949,1309,1278,3536,138,232,265,635,4171,2015,sept
Park,2225,4604,4235,11064,376,703,942,2021,13085,2015,sept
Phillips,431,1472,694,2597,107,247,190,544,3141,2015,sept
Pitkin,4248,2140,5603,11991,772,442,1256,2470,14461,2015,sept
Prowers,1312,2757,1821,5890,204,354,492,1050,6940,2015,sept
Pueblo,39736,23102,28571,91409,5716,3207,7070,15993,107402,2015,sept
Rio Blanco,324,2520,773,3617,62,322,337,721,4338,2015,sept
Rio Grande,2008,2698,1685,6391,361,408,464,1233,7624,2015,sept
Routt,4382,4446,6524,15352,815,788,1626,3229,18581,2015,sept
Saguache,1603,787,1099,3489,289,129,323,741,4230,2015,sept
San Juan,169,143,292,604,34,27,68,129,733,2015,sept
San Miguel,2070,840,1932,4842,355,148,472,975,5817,2015,sept
Sedgwick,257,869,392,1518,19,75,70,164,1682,2015,sept
Summit,5276,4357,8558,18191,1774,1382,3772,6928,25119,2015,sept
