county,active_dem,active_rep,active_uaf,total_active,inactive_dem,inactive_rep,inactive_uaf,total_inactive,grand_total,year,month
Prowers,1387,2948,1889,6224,181,367,561,1109,7333,2016,dec
Pueblo,42224,25669,31369,99262,2966,1694,4618,9278,108540,2016,dec
Rio Blanco,340,2776,812,3928,34,192,252,478,4406,2016,dec
Rio Grande,2169,2775,1817,6761,237,311,446,994,7755,2016,dec
Routt,5180,4760,7054,16994,809,827,1650,3286,20280,2016,dec
Saguache,1670,850,1107,3627,331,146,382,859,4486,2016,dec
San Juan,170,134,289,593,34,32,74,140,733,2016,dec
San Miguel,2508,928,1893,5329,402,165,484,1051,6380,2016,dec
Sedgwick,249,902,425,1576,33,102,93,228,1804,2016,dec
Summit,6279,4619,9116,20014,1804,1452,3731,6987,27001,2016,dec
Teller,2771,8326,5771,16868,345,803,988,2136,19004,2016,dec
Washington,276,2221,557,3054,33,147,94,274,3328,2016,dec
Weld,38339,63121,62072,163532,4712,6133,10073,20918,184450,2016,dec
Yuma,829,3096,1627,5552,106,287,293,686,6238,2016,dec
Adams,87533,62408,94480,244421,6510,4337,11656,22503,266924,2017,feb
Alamosa,3315,2572,2713,8600,314,215,544,1073,9673,2017,feb
Arapahoe,125923,108179,136263,370365,10515,7417,18377,36309,406674,2017,feb
Archuleta,2010,4206,2597,8813,358,574,466,1398,10211,2017,feb
Baca,603,1316,642,2561,36,68,111,215,2776,2017,feb
Bent,791,911,738,2440,160,138,217,515,2955,2017,feb
Boulder,96833,37012,82167,216012,6681,2633,10675,19989,236001,2017,feb
Broomfield,13282,12738,17618,43638,1137,1127,2238,4502,48140,2017,feb
Chaffee,3516,4665,4756,12937,241,333,702,1276,14213,2017,feb
Cheyenne,161,840,303,1304,16,53,37,106,1410,2017,feb
Clear Creek,2145,2090,2773,7008,206,184,428,818,7826,2017,feb
Conejos,2386,1776,754,4916,182,135,155,472,5388,2017,feb
Costilla,1555,381,494,2430,86,33,109,228,2658,2017,feb
Crowley,428,957,481,1866,42,50,79,171,2037,2017,feb
Custer,499,2151,832,3482,35,118,91,244,3726,2017,feb
Delta,3576,9490,6677,19743,202,474,724,1400,21143,2017,feb
Denver,197393,58577,144318,400288,16647,5878,23382,45907,446195,2017,feb
Dolores,339,699,408,1446,38,48,120,206,1652,2017,feb
Douglas,43761,98877,74213,216851,3256,6936,7665,17857,234708,2017,feb
Eagle,9190,7935,13397,30522,812,771,2159,3742,34264,2017,feb
El Paso,84766,163576,143333,391675,9449,12914,23085,45448,437123,2017,feb
Elbert,2312,10270,5726,18308,146,485,490,1121,19429,2017,feb
Fremont,5149,12044,9632,26825,500,972,1519,2991,29816,2017,feb
Garfield,8238,10508,13363,32109,473,639,1911,3023,35132,2017,feb
Gilpin,1258,1144,1835,4237,175,139,329,643,4880,2017,feb
Grand,2335,4308,3806,10449,150,230,486,866,11315,2017,feb
Gunnison,3629,2876,4752,11257,385,368,920,1673,12930,2017,feb
Hinsdale,114,414,151,679,9,34,22,65,744,2017,feb
Huerfano,2027,1234,1224,4485,145,112,204,461,4946,2017,feb
Jackson,112,684,180,976,30,108,69,207,1183,2017,feb
Jefferson,118027,118076,150138,386241,9329,8200,16460,33989,420230,2017,feb
Kiowa,143,575,237,955,11,31,35,77,1032,2017,feb
Kit Carson,581,2563,1194,4338,55,174,253,482,4820,2017,feb
La Plata,12236,11322,13432,36990,1529,1416,2765,5710,42700,2017,feb
Lake,1869,801,1434,4104,233,124,346,703,4807,2017,feb
Larimer,64180,73286,91965,229431,4017,4213,11144,19374,248805,2017,feb
Las Animas,3960,2247,2222,8429,558,407,556,1521,9950,2017,feb
Lincoln,390,1711,654,2755,60,142,160,362,3117,2017,feb
Logan,1842,5919,3613,11374,224,426,770,1420,12794,2017,feb
Mesa,17916,41251,33344,92511,4065,7478,10119,21662,114173,2017,feb
Mineral,266,319,146,731,16,26,25,67,798,2017,feb
Moffat,860,4346,2298,7504,311,806,995,2112,9616,2017,feb
Montezuma,3680,7660,5214,16554,559,745,1217,2521,19075,2017,feb
Montrose,4563,12023,8401,24987,259,646,913,1818,26805,2017,feb
Morgan,2941,6493,5181,14615,224,301,625,1150,15765,2017,feb
Otero,3435,3989,3395,10819,299,228,515,1042,11861,2017,feb
Ouray,1160,1311,1328,3799,113,214,238,565,4364,2017,feb
Park,2535,5051,4703,12289,256,468,678,1402,13691,2017,feb
Phillips,425,1574,704,2703,107,200,159,466,3169,2017,feb
Pitkin,4881,2153,5699,12733,623,367,1169,2159,14892,2017,feb
Prowers,1393,2959,1915,6267,138,293,455,886,7153,2017,feb
Pueblo,42263,25719,31729,99711,2930,1679,4560,9169,108880,2017,feb
Rio Blanco,339,2780,826,3945,33,188,247,468,4413,2017,feb
Rio Grande,2166,2770,1834,6770,228,292,439,959,7729,2017,feb
Routt,5182,4773,7109,17064,580,568,1278,2426,19490,2017,feb
Saguache,1667,849,1129,3645,187,86,263,536,4181,2017,feb
San Juan,170,134,295,599,22,20,57,99,698,2017,feb
San Miguel,2513,928,1905,5346,319,111,393,823,6169,2017,feb
Sedgwick,242,896,416,1554,29,92,93,214,1768,2017,feb
Summit,6288,4614,9120,20022,1568,1273,3240,6081,26103,2017,feb
Teller,2777,8384,5843,17004,339,767,955,2061,19065,2017,feb
Washington,276,2211,563,3050,31,143,90,264,3314,2017,feb
Weld,38513,63349,62749,164611,3233,4327,7686,15246,179857,2017,feb
