county,dem_gov_2014_%,rep_gov_2014_%,dem_house_2012_%,rep_house_2012_%,dem_house_2014_%,rep_house_2014_%,dem_house_2016_%,rep_house_2016_%,dem_pres_2012_%,rep_pres_2012_%,dem_pres_2016_%,rep_pres_2016_%,dem_senate_2014_%,rep_senate_2014_%,dem_senate_2016_%,rep_senate_2016_%
Pueblo,0.4967600053720118,0.4481600859521891,0.5264732751658303,0.4201564961802751,0.4653128871329561,0.47590986707737637,0.4134791921664627,0.5267110363117095,0.5584560464078536,0.41858939024070135,0.45615797370495637,0.46111690359331686,0.4672879963793017,0.4621586737516134,0.5201171950294915,0.4247163289171025
Rio Blanco,0.1598526703499079,0.7977900552486188,0.13510216529429706,0.8157974992375724,0.09027007029226786,0.8523862375138734,0.14537313432835822,0.8205970149253732,0.16859602255862274,0.8085485307212823,0.1263768115942029,0.8089855072463769,0.1326718118338846,0.8136714443219405,0.17777777777777778,0.7825185185185185
Rio Grande,0.4017857142857143,0.5439732142857143,0.3688585149612117,0.583671961581086,0.30798479087452474,0.6307313800044733,0.39913388668350774,0.5665824612053411,0.44785830471715166,0.5273811675402132,0.3615829418142392,0.5574629562703288,0.3525438991445295,0.5704637550652859,0.42562354207787545,0.5336443567198995
Routt,0.5812977099236641,0.3821564885496183,0.5051162052827795,0.44126279051320694,0.44925816023738874,0.4954500494559842,0.5353631000072838,0.41969553499890744,0.5667192310580461,0.4106780806487948,0.5434005434005434,0.37394537394537397,0.5395139686184462,0.40929965556831227,0.5655297532656023,0.38207547169811323
Saguache,0.5498742665549036,0.36043587594300086,0.5642831983092639,0.3592814371257485,0.5027460920997042,0.41064638783269963,0.5874692009855684,0.3699401619148187,0.6360845839017736,0.32878581173260574,0.4998236331569665,0.40458553791887125,0.5498527555742533,0.3622212873369794,0.551070551070551,0.36574236574236574
San Juan,0.5412026726057907,0.39420935412026725,0.49272349272349275,0.4261954261954262,0.4317673378076063,0.4899328859060403,0.5040650406504065,0.45121951219512196,0.525691699604743,0.4189723320158103,0.5237154150197628,0.424901185770751,0.551948051948052,0.3939393939393939,0.5602409638554217,0.38755020080321284
San Miguel,0.6753006475485661,0.25316065371569535,0.6643083678946085,0.28128811905342765,0.6081166772352569,0.32403297400126824,0.689815893731065,0.26986716383127474,0.7030075187969925,0.27114661654135336,0.6872256872256872,0.23862323862323861,0.683451028553884,0.2671169788148603,0.6850046425255338,0.24489322191272053
Sedgwick,0.28287841191067,0.6666666666666666,0.24375,0.72265625,0.19434931506849315,0.7337328767123288,0.1728582259287339,0.7862016679302501,0.3131539611360239,0.6584454409566517,0.19574780058651026,0.7441348973607038,0.21724709784411278,0.7072968490878938,0.31791044776119404,0.6440298507462686
Summit,0.6345318742400556,0.3217821782178218,0.5830895667920323,0.34447694664995127,0.6144686992603283,0.3855313007396717,0.6075600051341291,0.32242330894622,0.6104362591431557,0.3638322884012539,0.5908866081365154,0.31532088537158404,0.6032778355879292,0.35084980922650016,0.5992208118637677,0.32537388462988565
Teller,0.2867380341502256,0.6515084490843139,0.0,0.6979816811218287,0.3519430760810071,0.6480569239189928,0.2419610670511896,0.6936553713049748,0.32318937868277764,0.6490639218318789,0.24944613680420935,0.674674605372473,0.2802875654566433,0.6511937516641519,0.28360083740404746,0.6662247034193999
Washington,0.15498938428874734,0.8131634819532909,0.10503709488481063,0.8684107770402186,0.09947643979057591,0.8638743455497382,0.09417549167927383,0.8687594553706506,0.18062524121960633,0.8012350443844075,0.10830589096231248,0.8412001463593121,0.1005089058524173,0.871501272264631,0.19504071058475203,0.7742413027387121
Weld,0.3676713596404257,0.5821490735232555,0.39775384782726925,0.5516669385979225,0.2938880937472046,0.6448139368458717,0.31932184284484794,0.627660951887705,0.4233338511729066,0.5504203131203287,0.3434911024145315,0.5659824263457136,0.327988900023125,0.6037043970444109,0.3889107997291324,0.5569380055512975
Yuma,0.1864725223109441,0.7881634570220761,0.14225756571681025,0.8330019880715706,0.1264146400192632,0.8427642667950879,0.1394954420182319,0.8365486538053848,0.21564343456412496,0.762508193139611,0.15153412648716344,0.8035900647046545,0.1192361434559851,0.8565440149045179,0.2629147417051659,0.7110457790844184
