Date,County,Year,Month,Label,Active Dem_change,Active Rep_change,Active Uaf_change,Total Active_change,Inactive Dem_change,Inactive Rep_change,Inactive Uaf_change,Total Inactive_change,Grand Total_change,pres_2016_sim_label
2017-07-28,Lake,2017,july,DEM,-0.008112493239588958,0.0,0.00867244829886582,-0.000480769230769229,0.01298701298701288,0.023809523809523725,0.0029239766081872176,0.010014306151645114,0.0010290183165260203,Hillary Clinton
2017-08-28,Lake,2017,aug,DEM,0.003816793893129722,0.014778325123152802,0.021164021164021163,0.012265512265512202,-0.012820512820512777,0.0,0.017492711370262315,0.004249291784702569,0.01110197368421062,Hillary Clinton
2017-09-28,Lake,2017,sept,DEM,-0.005975013579576305,-0.0024271844660194164,0.011658031088082943,0.0011879306248514518,0.008658008658008587,0.0,-0.017191977077363862,-0.005641748942172065,0.00020333468889788264,Hillary Clinton
2017-10-28,Lake,2017,oct,DEM,-0.0005464480874316502,0.0024330900243310087,0.015364916773367375,0.00593260560037967,0.0,-0.007751937984496138,-0.011661807580174877,-0.007092198581560294,0.004065867046147531,Hillary Clinton
2016-11-28,Larimer,2016,nov,DEM,0.005210283289654338,0.010906086477554313,-0.003971039929793752,0.0033525828930509594,0.02994908655286022,-0.008293020041465149,0.09697622735537736,0.054933592935122684,0.009133202933223172,Hillary Clinton
2016-12-28,Larimer,2016,dec,DEM,-0.001800180018001751,9.535225848633644e-05,0.0063767924403621565,0.0020555613869353007,-0.4027333527188136,-0.3928919860627178,-0.2990361593713549,-0.3447366686441237,-0.03857291787327699,Hillary Clinton
2017-01-28,Larimer,2017,jan,DEM,-0.0016168651472280304,-0.001307563437257353,0.0031627214725806767,0.00038844612819599616,-0.013875365141187923,-0.020202020202020218,-0.017954107549483234,-0.017603862790463776,-0.0010481927710843664,Hillary Clinton
2017-02-28,Larimer,2017,feb,DEM,-0.0005917344046840746,-0.000504616559606097,0.0032618419043046747,0.000977282543726865,-0.008392989385336945,-0.012886597938144284,-0.006153571747079312,-0.008089289371288166,0.0002653383667217124,Hillary Clinton
2017-03-28,Larimer,2017,mar,DEM,0.0002181364911186812,1.3645170974019294e-05,0.006306747132061029,0.0025933722992970143,-0.009708737864077666,-0.003797768810823609,-0.006550610193826301,-0.006606792608650824,0.0018769719258053816,Hillary Clinton
2017-04-28,Larimer,2017,apr,DEM,7.788889927407006e-05,-0.00017738480221596298,0.003760332811064915,0.0014780937807030714,0.004524886877828038,0.0002382654276864571,0.0003613043085539669,0.0011950535176139534,0.0014562405725473404,Hillary Clinton
2017-05-28,Larimer,2017,may,DEM,0.0006230626645273851,-0.00013647405628192108,0.004650511879259023,0.0020055042844864253,0.0,-0.002143878037160541,-0.004514672686230292,-0.003061912917120768,0.001614356961163299,Hillary Clinton
2017-06-28,Larimer,2017,june,DEM,0.0003580379520229382,0.00015014195239126948,0.006793463702116309,0.002893929679241625,0.0065065065065064145,0.005013129625208945,0.00217687074829942,0.003695991671004649,0.002955550756285064,Hillary Clinton
2017-07-28,Larimer,2017,july,DEM,-0.003594659363231778,-0.0010781303309450596,0.004406177162379343,0.0004492518229257669,0.013426156141223222,0.010926365795724369,0.005430355688297528,0.008298324775685817,0.0010527281209999906,Hillary Clinton
