county,apr_2016active_dem,apr_2016active_rep,apr_2016active_uaf,apr_2016total_active,apr_2016inactive_dem,apr_2016inactive_rep,apr_2016inactive_uaf,apr_2016total_inactive,apr_2016grand_total,aug_2016active_dem,aug_2016active_rep,aug_2016active_uaf,aug_2016total_active,aug_2016inactive_dem,aug_2016inactive_rep,aug_2016inactive_uaf,aug_2016total_inactive,aug_2016grand_total,dec_2015active_dem,dec_2015active_rep,dec_2015active_uaf,dec_2015total_active,dec_2015inactive_dem,dec_2015inactive_rep,dec_2015inactive_uaf,dec_2015total_inactive,dec_2015grand_total,feb_2016active_dem,feb_2016active_rep,feb_2016active_uaf,feb_2016total_active,feb_2016inactive_dem,feb_2016inactive_rep,feb_2016inactive_uaf,feb_2016total_inactive,feb_2016grand_total,jan_2016active_dem,jan_2016active_rep,jan_2016active_uaf,jan_2016total_active,jan_2016inactive_dem,jan_2016inactive_rep,jan_2016inactive_uaf,jan_2016total_inactive,jan_2016grand_total,july_2016active_dem,july_2016active_rep,july_2016active_uaf,july_2016total_active,july_2016inactive_dem,july_2016inactive_rep,july_2016inactive_uaf,july_2016total_inactive,july_2016grand_total,june_2016active_dem,june_2016active_rep,june_2016active_uaf,june_2016total_active,june_2016inactive_dem,june_2016inactive_rep,june_2016inactive_uaf,june_2016total_inactive,june_2016grand_total,mar_2016active_dem,mar_2016active_rep,mar_2016active_uaf,mar_2016total_active,mar_2016inactive_dem,mar_2016inactive_rep,mar_2016inactive_uaf,mar_2016total_inactive,mar_2016grand_total,may_2016active_dem,may_2016active_rep,may_2016active_uaf,may_2016total_active,may_2016inactive_dem,may_2016inactive_rep,may_2016inactive_uaf,may_2016total_inactive,may_2016grand_total,nov_2015active_dem,nov_2015active_rep,nov_2015active_uaf,nov_2015total_active,nov_2015inactive_dem,nov_2015inactive_rep,nov_2015inactive_uaf,nov_2015total_inactive,nov_2015grand_total,oct_2016active_dem,oct_2016active_rep,oct_2016active_uaf,oct_2016total_active,oct_2016inactive_dem,oct_2016inactive_rep,oct_2016inactive_uaf,oct_2016total_inactive,oct_2016grand_total,sept_2016active_dem,sept_2016active_rep,sept_2016active_uaf,sept_2016total_active,sept_2016inactive_dem,sept_2016inactive_rep,sept_2016inactive_uaf,sept_2016total_inactive,sept_2016grand_total
El Paso,76323,151561,127457,355341,16678,22432,34473,73583,428924,77866,153337,130510,361713,18490,25085,35417,78992,440705,71211,146489,123463,341163,17965,24351,36785,79101,420264,73932,149206,124734,347872,17330,23184,35557,76071,423943,72397,147694,124038,344129,17636,23673,36139,77448,421577,76428,151514,127540,355482,19279,26117,35887,81283,436765,79091,154898,126112,360101,16285,22120,34876,73281,433382,75387,150686,126078,352151,16970,22702,34942,74614,426765,77635,153085,126465,357185,16538,22321,34918,73777,430962,69355,144802,121378,335535,18616,25518,38323,82457,417992,84162,161742,142330,388234,15567,21379,31187,68133,456367,80285,155914,135101,371300,17143,23522,33755,74420,445720
Elbert,2204,9260,5262,16726,268,971,824,2063,18789,2234,9566,5276,17076,300,1065,762,2127,19203,2121,8918,5136,16175,283,1056,905,2244,18419,2172,9116,5165,16453,276,1007,864,2147,18600,2146,9007,5165,16318,282,1030,883,2195,18513,2204,9474,5197,16875,315,1114,787,2216,19091,2266,9605,5104,16975,256,962,799,2017,18992,2195,9213,5207,16615,272,983,839,2094,18709,2220,9399,5183,16802,266,968,818,2052,18854,2085,8805,5099,15989,293,1112,931,2336,18325,2310,10151,5692,18153,253,870,629,1752,19905,2251,9748,5392,17391,287,1003,721,2011,19402
Fremont,4986,10851,9022,24859,742,1390,2012,4144,29003,5027,11228,9098,25353,817,1541,1908,4266,29619,4886,10623,8617,24126,797,1470,2132,4399,28525,4958,10796,8774,24528,767,1435,2088,4290,28818,4931,10725,8705,24361,778,1446,2104,4328,28689,5004,11085,8930,25019,852,1643,1947,4442,29461,5148,11308,8783,25239,722,1357,1964,4043,29282,4974,10848,8888,24710,755,1408,2051,4214,28924,5059,11068,8906,25033,730,1381,1990,4101,29134,4847,10585,8525,23957,803,1509,2154,4466,28423,5195,11905,9737,26837,678,1290,1704,3672,30509,5097,11466,9321,25884,765,1457,1843,4065,29949
Garfield,7304,9311,12213,28828,862,1277,2688,4827,33655,7586,9559,12340,29485,959,1412,2729,5100,34585,6749,8854,11796,27399,1034,1541,3100,5675,33074,7121,9156,11956,28233,910,1343,2823,5076,33309,6977,8991,11880,27848,967,1442,2954,5363,33211,7391,9403,12036,28830,1065,1522,2830,5417,34247,7621,9657,11823,29101,831,1243,2858,4932,34033,7268,9258,12059,28585,880,1302,2735,4917,33502,7475,9472,11885,28832,854,1266,2856,4976,33808,6846,9166,12406,28418,794,1191,2366,4351,32769,8131,10233,13236,31600,759,1128,2260,4147,35747,7809,9765,12667,30241,897,1306,2588,4791,35032
Gilpin,1208,1054,1589,3851,258,227,520,1005,4856,1187,1060,1667,3914,303,247,473,1023,4937,1136,1044,1563,3743,280,241,560,1081,4824,1189,1051,1562,3802,272,237,537,1046,4848,1168,1048,1564,3780,277,241,546,1064,4844,1171,1049,1622,3842,313,254,485,1052,4894,1228,1094,1578,3900,253,213,498,964,4864,1199,1058,1577,3834,266,234,529,1029,4863,1210,1061,1606,3877,258,223,507,988,4865,1268,1161,1864,4293,135,114,262,511,4804,1246,1144,1808,4198,240,210,419,869,5067,1207,1079,1706,3992,274,237,462,973,4965
Grand,2115,4071,3558,9744,294,424,793,1511,11255,2237,4152,3521,9910,324,449,769,1542,11452,1987,4002,3478,9467,316,439,820,1575,11042,2050,4027,3486,9563,310,426,807,1543,11106,2023,4004,3478,9505,313,429,814,1556,11061,2227,4146,3431,9804,329,469,779,1577,11381,2252,4190,3406,9848,291,412,789,1492,11340,2102,4066,3510,9678,296,423,795,1514,11192,2177,4127,3480,9784,296,418,795,1509,11293,1949,3988,3484,9421,318,462,824,1604,11025,2333,4308,3766,10407,283,381,672,1336,11743,2276,4202,3618,10096,311,421,732,1464,11560
Gunnison,3153,2591,4089,9833,573,528,1356,2457,12290,3197,2587,4014,9798,661,583,1375,2619,12417,2882,2471,4001,9354,647,580,1493,2720,12074,3062,2536,4029,9627,597,544,1420,2561,12188,2983,2500,4016,9499,614,561,1446,2621,12120,3145,2566,3925,9636,706,608,1407,2721,12357,3283,2657,3879,9819,560,518,1419,2497,12316,3142,2578,4060,9780,580,535,1378,2493,12273,3230,2624,3971,9825,566,522,1405,2493,12318,2752,2434,3972,9158,693,617,1563,2873,12031,3585,2834,4716,11135,511,467,1101,2079,13214,3371,2667,4271,10309,597,540,1279,2416,12725
Hinsdale,106,386,153,645,11,36,26,73,718,105,401,146,652,15,32,20,67,719,95,383,148,626,10,45,29,84,710,104,384,148,636,11,37,26,74,710,100,385,146,631,11,38,29,78,709,104,398,144,646,18,33,22,73,719,111,405,142,658,11,31,24,66,724,106,383,148,637,11,37,26,74,711,110,396,148,654,11,33,24,68,722,92,383,148,623,13,49,29,91,714,111,418,157,686,13,30,19,62,748,106,406,152,664,15,31,19,65,729
Huerfano,1926,1105,1068,4099,217,170,291,678,4777,1953,1137,1066,4156,235,183,292,710,4866,1897,1039,1019,3955,238,181,308,727,4682,1924,1064,1024,4012,232,174,300,706,4718,1910,1051,1024,3985,234,175,305,714,4699,1943,1116,1036,4095,245,192,299,736,4831,1983,1146,1026,4155,208,164,299,671,4826,1926,1077,1037,4040,226,171,300,697,4737,1943,1114,1053,4110,215,169,301,685,4795,1877,1031,1015,3923,253,190,318,761,4684,2029,1211,1186,4426,198,150,251,599,5025,1991,1166,1120,4277,217,174,274,665,4942
Jackson,115,656,180,951,30,141,70,241,1192,115,652,182,949,31,151,67,249,1198,104,643,171,918,32,155,71,258,1176,104,654,171,929,32,149,71,252,1181,104,647,174,925,32,154,71,257,1182,114,647,181,942,32,155,68,255,1197,114,664,179,957,30,140,70,240,1197,108,660,171,939,31,142,71,244,1183,114,662,180,956,30,141,70,241,1197,116,692,200,1008,21,107,42,170,1178,117,681,194,992,29,131,63,223,1215,116,659,183,958,29,146,65,240,1198
